inicio,varinicio,varfim,PT_V,ID,VIR,inteiro,real,literal,leia,escreva,LIT,NUM,ATR,OPA,se,AB_P,FC_P,entao,OPR,fimse,fim,EOF,P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP
E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,S.39,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,S.40,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,,,,,,,,,,,26,28,,,,
E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,S.27,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,,,,,,,,,,,,,,,,
E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R.19,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R.19,R.19,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R.19,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R.19,R.19,E-ID-leia-escreva-se-fimse-fim,,,,,,,,,,,,,,,,
E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,R.21,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,S.29,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,,,,,,,,,,,,,,,,
E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,S.39,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,S.40,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,,,,,,,,,,,,30,,,,
E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,R.20,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,,,,,,,,,,,,,,,,
E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R.25,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R.25,R.25,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R.25,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R.25,R.25,E-ID-leia-escreva-se-fimse-fim,,,,,,,,,,,,,,,,
E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S.11,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S.9,S.10,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S.13,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S.35,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,,,,,,,,32,,33,,,34,12,,36
E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S.11,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S.9,S.10,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S.13,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S.35,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,,,,,,,,32,,33,,,34,12,,37
E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S.11,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S.9,S.10,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S.13,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S.35,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,,,,,,,,32,,33,,,34,12,,38
